Level of Education,Province,Fields of Study,Type of AI,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9,PE10,PE11,PE12,PE13,PE14,PE15,PE16,PE17,PE18,PE19,PE20,CU1,CU2,CU3,CU4,ATU1,ATU2,ATU3,ATU4,ATU5,AUP1,AUP2,AUP3,AUP4,AUP5,MIUA1,MIUA2,MIUA3,MIUA4,MIUA5,Respondent,Gender,University,Gender_Label,University_Label,Education_Label,Province_Label,Field_Label,AI_Label,PE_Score,CU_Score,ATU_Score,AUP_Score,MIUA_Score,PE_Score_Scaled,CU_Score_Scaled,ATU_Score_Scaled,AUP_Score_Scaled,MIUA_Score_Scaled
2.0,4.0,6.0,12.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,11,1,1,Male,Public,Undergraduate (S1),Sumatera Barat (Padang),"Economics (Economics, Management, Marketing, Economic Education)",Others,1.6,1.5,2.2,2.0,1.4,-2.6837363373848317,-1.5387968512533665,-1.1584529577101839,-1.2385129326164783,-2.215961906525975
2.0,4.0,6.0,11.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,12,2,1,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Economics (Economics, Management, Marketing, Economic Education)",Perplexity.AI,3.0,3.0,3.4,2.6,3.0,-0.10022893119472726,0.8729400311032701,0.9064838742072571,-0.12385129326164818,0.4034595834239327
2.0,4.0,4.7729468599033815,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.099250936329588,2.958801498127341,2.8333333333333335,3.0675422138836774,2.940074906367041,2.99250936329588,3.168539325842697,3.050561797752809,3.0374531835205993,2.9943714821763603,3.0581613508442778,3.1242937853107344,3.0,2.443820224719101,2.3127340823970037,2.7752808988764044,2.296435272045028,3.01310861423221,2.628517823639775,2.8911819887429644,2.9606003752345216,2.8726591760299627,1.9737827715355805,2.9232209737827715,3.1741573033707864,2.6310861423220975,2.6310861423220975,2.702247191011236,2.816479400749064,2.749063670411985,2.4850187265917603,3.0149812734082397,13,2,1,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Education (PGSD, PGPAUD, Psychology, Guidance & Counseling)",Canva - IA,2.616244658839217,2.4570676195093846,2.8732135955758866,2.6666666666666665,2.7535580524344567,-0.8083966212332224,7.140175509680081e-16,0.0,-8.250153444521033e-16,0.0
2.0,4.0,4.7729468599033815,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,14,2,1,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Education (PGSD, PGPAUD, Psychology, Guidance & Counseling)",Canva - IA,3.4,3.25,3.8,2.8,3.6,0.6379160420024453,1.2748961781627095,1.5947961515130706,0.2477025865232947,1.3857426421551482
2.0,4.0,4.7729468599033815,12.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,15,2,1,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Education (PGSD, PGPAUD, Psychology, Guidance & Counseling)",Others,2.05,1.75,2.4,2.2,1.8,-1.8533232425380128,-1.136840704193927,-0.8142968190572774,-0.8669590528315347,-1.5611065340384978
2.0,4.0,4.7729468599033815,12.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,16,2,1,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Education (PGSD, PGPAUD, Psychology, Guidance & Counseling)",Others,3.0,2.0,2.8,2.8,2.6,-0.10022893119472726,-0.7348845571344876,-0.12598454175146376,0.2477025865232947,-0.251395789063544
2.0,21.0,4.7729468599033815,12.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,17,2,2,Female,Private,Undergraduate (S1),East Java (Surabaya),"Education (PGSD, PGPAUD, Psychology, Guidance & Counseling)",Others,3.7,2.75,4.2,3.8,3.8,1.1915247719003255,0.4709838840438306,2.283108428818885,2.1054719854480117,1.7131703283988862
2.0,4.0,4.7729468599033815,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,18,2,1,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Education (PGSD, PGPAUD, Psychology, Guidance & Counseling)",ChatGPT,3.45,3.25,2.8,2.8,3.2,0.7301841636520924,1.2748961781627095,-0.12598454175146376,0.2477025865232947,0.7308872696676714
2.0,21.0,4.7729468599033815,12.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,19,2,2,Female,Private,Undergraduate (S1),East Java (Surabaya),"Education (PGSD, PGPAUD, Psychology, Guidance & Counseling)",Others,3.8,2.75,3.6,3.4,3.2,1.376061015199618,0.4709838840438306,1.2506400128601642,1.362364225878125,0.7308872696676714
2.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,1,1,Male,Public,Undergraduate (S1),Sumatera Barat (Padang),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",ChatGPT,1.0,1.0,1.6,1.0,1.0,-3.790953797180591,-2.3427091453722455,-2.1909213736689046,-3.0962823315411954,-2.8708172790134516
2.0,21.0,4.7729468599033815,3.0,4.0,4.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.296435272045028,1.0,2.628517823639775,2.8911819887429644,4.0,5.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,4.0,3.0,4.0,21,1,2,Male,Private,Undergraduate (S1),East Java (Surabaya),"Education (PGSD, PGPAUD, Psychology, Guidance & Counseling)",ChatGPT,2.5,1.574108818011257,3.103939962476548,1.6,3.0,-1.0229101476911933,-1.4196428714496303,0.39702947758972706,-1.981620692186365,0.4034595834239327
2.0,4.0,4.7729468599033815,2.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,22,2,1,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Education (PGSD, PGPAUD, Psychology, Guidance & Counseling)",Canva - IA,2.65,2.75,1.6,2.2,1.4,-0.7461057827422536,0.4709838840438306,-2.1909213736689046,-0.8669590528315347,-2.215961906525975
2.0,4.0,6.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,23,2,1,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Economics (Economics, Management, Marketing, Economic Education)",Canva - IA,1.9,2.25,1.6,1.4,2.0,-2.1301276074869526,-0.33292841007504825,-2.1909213736689046,-2.3531745719713086,-1.2336788477947593
2.0,21.0,4.7729468599033815,12.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,24,2,2,Female,Private,Undergraduate (S1),East Java (Surabaya),"Education (PGSD, PGPAUD, Psychology, Guidance & Counseling)",Others,2.7,2.5,2.6,2.4,1.8,-0.6538376610926065,0.06902773698439121,-0.4701406804043702,-0.4954051730465919,-1.5611065340384978
2.0,4.0,4.7729468599033815,11.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,3.1707317073170733,4.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25,1,1,Male,Public,Undergraduate (S1),Sumatera Barat (Padang),"Education (PGSD, PGPAUD, Psychology, Guidance & Counseling)",Perplexity.AI,2.4585365853658536,2.75,2.0,1.0,1.0,-1.0994251754006563,0.4709838840438306,-1.502609096363091,-3.0962823315411954,-2.8708172790134516
1.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,26,1,1,Male,Public,Associate Degree (D3),Sumatera Barat (Padang),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",ChatGPT,4.0,1.5,3.0,3.8,2.0,1.7451335017982046,-1.5387968512533665,0.21817159690144344,2.1054719854480117,-1.2336788477947593
2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,27,2,1,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",ChatGPT,3.0,1.25,3.0,2.0,3.0,-0.10022893119472726,-1.940752998312806,0.21817159690144344,-1.2385129326164783,0.4034595834239327
2.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,28,2,1,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Mathematics (Statistics, Math Education)",ChatGPT,3.15,3.0,3.0,2.0,2.0,0.17657543375421236,0.8729400311032701,0.21817159690144344,-1.2385129326164783,-1.2336788477947593
1.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,29,1,1,Male,Public,Associate Degree (D3),Sumatera Barat (Padang),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",ChatGPT,3.5,2.5,3.4,3.0,3.6,0.8224522853017386,0.06902773698439121,0.9064838742072571,0.6192564663082384,1.3857426421551482
2.0,4.0,4.7729468599033815,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,30,2,1,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Education (PGSD, PGPAUD, Psychology, Guidance & Counseling)",ChatGPT,3.5,2.25,3.2,3.0,3.2,0.8224522853017386,-0.33292841007504825,0.5623277355543507,0.6192564663082384,0.7308872696676714
2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,31,1,1,Male,Public,Undergraduate (S1),Sumatera Barat (Padang),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",ChatGPT,4.0,1.75,3.4,3.4,3.4,1.7451335017982046,-1.136840704193927,0.9064838742072571,1.362364225878125,1.0583149559114093
2.0,4.0,6.0,11.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,32,2,1,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Economics (Economics, Management, Marketing, Economic Education)",Perplexity.AI,2.75,2.5,1.8,2.8,2.6,-0.5615695394429602,0.06902773698439121,-1.8467652350159978,0.2477025865232947,-0.251395789063544
2.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,33,2,1,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Science (Biology, Chemistry, Physics, Medicine, Psychology, Health, Agriculture)",ChatGPT,3.0,2.25,2.2,2.6,2.6,-0.10022893119472726,-0.33292841007504825,-1.1584529577101839,-0.12385129326164818,-0.251395789063544
2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,34,1,1,Male,Public,Undergraduate (S1),Sumatera Barat (Padang),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",ChatGPT,3.0,2.25,2.6,2.2,3.0,-0.10022893119472726,-0.33292841007504825,-0.4701406804043702,-0.8669590528315347,0.4034595834239327
2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,35,1,1,Male,Public,Undergraduate (S1),Sumatera Barat (Padang),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",ChatGPT,2.3,2.5,2.2,1.8,2.2,-1.3919826342897799,0.06902773698439121,-1.1584529577101839,-1.6100668124014217,-0.9062511615510207
2.0,4.0,7.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,36,1,1,Male,Public,Undergraduate (S1),Sumatera Barat (Padang),"Education (PGSD, PGPAUD, Psychology, Guidance & Counseling)",ChatGPT,3.6,1.75,4.0,2.4,2.6,1.006988528601032,-1.136840704193927,1.938952290165978,-0.4954051730465919,-0.251395789063544
2.0,8.0,4.7729468599033815,2.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,37,1,1,Male,Public,Undergraduate (S1),Jambi (Jambi),"Education (PGSD, PGPAUD, Psychology, Guidance & Counseling)",Canva - IA,3.75,1.75,3.6,2.8,3.0,1.2837928935499716,-1.136840704193927,1.2506400128601642,0.2477025865232947,0.4034595834239327
1.0,4.0,4.7729468599033815,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,38,1,1,Male,Public,Associate Degree (D3),Sumatera Barat (Padang),"Education (PGSD, PGPAUD, Psychology, Guidance & Counseling)",ChatGPT,3.0,1.5,2.6,3.0,2.4,-0.10022893119472726,-1.5387968512533665,-0.4701406804043702,0.6192564663082384,-0.5788234753072827
2.0,4.0,6.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,39,2,1,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Economics (Economics, Management, Marketing, Economic Education)",ChatGPT,4.0,1.75,3.0,2.0,3.0,1.7451335017982046,-1.136840704193927,0.21817159690144344,-1.2385129326164783,0.4034595834239327
2.0,4.0,7.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,40,1,1,Male,Public,Undergraduate (S1),Sumatera Barat (Padang),"Education (PGSD, PGPAUD, Psychology, Guidance & Counseling)",ChatGPT,3.0,2.75,2.2,2.6,2.6,-0.10022893119472726,0.4709838840438306,-1.1584529577101839,-0.12385129326164818,-0.251395789063544
2.0,4.0,3.0,12.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0675422138836774,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,41,1,1,Male,Public,Undergraduate (S1),Sumatera Barat (Padang),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",Others,3.253377110694184,2.5,3.0,2.6,3.0,0.36734367026061154,0.06902773698439121,0.21817159690144344,-0.12385129326164818,0.4034595834239327
