Respondent,Gender,University,Level of Education,Province,Fields of Study,Type of AI,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9,PE10,PE11,PE12,PE13,PE14,PE15,PE16,PE17,PE18,PE19,PE20,CU1,CU2,CU3,CU4,ATU1,ATU2,ATU3,ATU4,ATU5,AUP1,AUP2,AUP3,AUP4,AUP5,MIUA1,MIUA2,MIUA3,MIUA4,MIUA5,Gender_Label,University_Label,Education_Label,Province_Label,Field_Label,AI_Label,PE_Score,CU_Score,ATU_Score,AUP_Score,MIUA_Score,PE_S,CU_S,ATU_S,AUP_S,MIUA_S
17,2,2,2.0,21.0,0.0,12.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,Female,Private,Undergraduate (S1),East Java (Surabaya),,Others,3.7,2.75,4.2,3.8,3.8,1.287440442066306,0.43549247798685464,1.176431104526538,1.2794874738216282,0.6917875504975699
18,2,1,2.0,4.0,0.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),,ChatGPT,3.45,3.25,2.8,2.8,3.2,-3.5663731585359106,-2.2148931483728145,-2.05322839954945,-2.9555020042917004,-2.723470783272854
19,2,2,2.0,21.0,0.0,12.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,Female,Private,Undergraduate (S1),East Java (Surabaya),,Others,3.8,2.75,3.6,3.4,3.2,-0.7060901438953185,0.43549247798685464,-2.05322839954945,-0.8380072652350357,-2.1025147225873226
20,1,1,2.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Male,Public,Undergraduate (S1),Sumatera Barat (Padang),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",ChatGPT,1.0,1.0,1.6,1.0,1.0,-2.0062187869137693,-0.321760558115908,-2.05322839954945,-2.249670424606146,-1.1710806315590252
22,2,1,2.0,4.0,0.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),,Canva - IA,2.65,2.75,1.6,2.2,1.4,1.634141413537893,-1.457640112270052,0.20753325330374156,1.985319053507183,-1.1710806315590252
23,2,1,2.0,4.0,6.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Economics (Economics, Management, Marketing, Economic Education)",Canva - IA,1.9,2.25,1.6,1.4,2.0,-0.09936344382004134,-1.8362666303214332,0.20753325330374156,-1.1909230550778134,0.3813095201548038
24,2,2,2.0,21.0,0.0,12.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,Female,Private,Undergraduate (S1),East Java (Surabaya),,Others,2.7,2.5,2.6,2.4,1.8,0.1606622847836487,0.8141189960382359,0.20753325330374156,-1.1909230550778134,-1.1710806315590252
26,1,1,1.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,Male,Public,Associate Degree (D3),Sumatera Barat (Padang),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",ChatGPT,4.0,1.5,3.0,3.8,2.0,0.7673889848589259,-0.321760558115908,0.5304992037113406,0.5736558941360737,0.6917875504975699
27,2,1,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",ChatGPT,3.0,1.25,3.0,2.0,3.0,1.634141413537893,-1.0790135942186705,0.853465154118939,1.2794874738216282,1.0022655808403353
28,2,1,2.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Mathematics (Statistics, Math Education)",ChatGPT,3.15,3.0,3.0,2.0,2.0,-0.532739658159525,0.056865959935473324,-1.730262449141851,0.22074010429329594,-0.23964654053072765
29,1,1,1.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,Male,Public,Associate Degree (D3),Sumatera Barat (Padang),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",ChatGPT,3.5,2.5,3.4,3.0,3.6,-0.09936344382004134,-0.321760558115908,-1.0843305483266532,-0.132175685549481,-0.23964654053072765
30,2,1,2.0,4.0,0.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),,ChatGPT,3.5,2.25,3.2,3.0,3.2,-0.09936344382004134,-0.321760558115908,-0.43839864751145585,-0.8380072652350357,0.3813095201548038
31,1,1,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,Male,Public,Undergraduate (S1),Sumatera Barat (Padang),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",ChatGPT,4.0,1.75,3.4,3.4,3.4,-1.3128168439705958,0.056865959935473324,-1.0843305483266532,-1.5438388449205906,-0.8606026012162591
32,2,1,2.0,4.0,6.0,11.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Economics (Economics, Management, Marketing, Economic Education)",Perplexity.AI,2.75,2.5,1.8,2.8,2.6,0.9407394705947195,-1.0790135942186705,1.8223630053417355,-0.4850914753922587,-0.23964654053072765
33,2,1,2.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Science (Biology, Chemistry, Physics, Medicine, Psychology, Health, Agriculture)",ChatGPT,3.0,2.25,2.2,2.6,2.6,1.2007651991984096,-1.0790135942186705,1.176431104526538,0.22074010429329594,0.3813095201548038
34,1,1,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,Male,Public,Undergraduate (S1),Sumatera Barat (Padang),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",ChatGPT,3.0,2.25,2.6,2.2,3.0,-0.09936344382004134,-1.457640112270052,-0.43839864751145585,0.5736558941360737,-0.5501245708734936
35,1,1,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,Male,Public,Undergraduate (S1),Sumatera Barat (Padang),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",ChatGPT,2.3,2.5,2.2,1.8,2.2,1.634141413537893,-1.0790135942186705,0.20753325330374156,-1.1909230550778134,0.3813095201548038
36,1,1,2.0,4.0,7.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,Male,Public,Undergraduate (S1),Sumatera Barat (Padang),"Education (PGSD, PGPAUD, Psychology, Guidance & Counseling)",ChatGPT,3.6,1.75,4.0,2.4,2.6,-0.09936344382004134,0.43549247798685464,-1.0843305483266532,-0.132175685549481,-0.23964654053072765
37,1,1,2.0,8.0,0.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Male,Public,Undergraduate (S1),Jambi (Jambi),,Canva - IA,3.75,1.75,3.6,2.8,3.0,-0.7060901438953185,-0.321760558115908,-1.4072964987342522,-0.4850914753922587,-1.4815586619017909
38,1,1,1.0,4.0,0.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,Male,Public,Associate Degree (D3),Sumatera Barat (Padang),,ChatGPT,3.0,1.5,2.6,3.0,2.4,-1.2261416011026987,-0.321760558115908,-1.0843305483266532,-0.8380072652350357,-1.1710806315590252
39,2,1,2.0,4.0,6.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Economics (Economics, Management, Marketing, Economic Education)",ChatGPT,4.0,1.75,3.0,2.0,3.0,0.7673889848589259,-1.8362666303214332,1.8223630053417355,0.22074010429329594,0.3813095201548038
40,1,1,2.0,4.0,7.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,Male,Public,Undergraduate (S1),Sumatera Barat (Padang),"Education (PGSD, PGPAUD, Psychology, Guidance & Counseling)",ChatGPT,3.0,2.75,2.2,2.6,2.6,1.634141413537893,-0.321760558115908,0.20753325330374156,0.5736558941360737,0.3813095201548038
42,2,1,2.0,4.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",ChatGPT,2.65,2.25,2.0,2.4,1.8,-0.44606441529162855,0.056865959935473324,-0.43839864751145585,0.22074010429329594,0.3813095201548038
43,2,1,2.0,4.0,0.0,12.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),,Others,2.35,2.25,2.2,2.2,2.0,1.027414713462616,-0.7003870761672892,0.20753325330374156,0.22074010429329594,-0.23964654053072765
44,1,1,2.0,4.0,7.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,Male,Public,Undergraduate (S1),Sumatera Barat (Padang),"Education (PGSD, PGPAUD, Psychology, Guidance & Counseling)",ChatGPT,3.5,1.25,4.0,2.8,3.0,-1.6595178154421824,0.056865959935473324,0.853465154118939,1.632403263664406,0.6917875504975699
45,2,1,2.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Science (Biology, Chemistry, Physics, Medicine, Psychology, Health, Agriculture)",ChatGPT,4.0,2.25,3.0,3.0,3.0,0.3340127705194423,0.056865959935473324,-0.1154326971038575,-1.5438388449205906,-1.4815586619017909
46,2,1,2.0,4.0,0.0,11.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),,Perplexity.AI,2.4,2.25,2.6,2.8,1.8,-0.09936344382004134,0.43549247798685464,0.20753325330374156,0.5736558941360737,-1.1710806315590252
47,1,1,1.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Male,Public,Associate Degree (D3),Sumatera Barat (Padang),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",ChatGPT,2.8,2.5,2.6,2.8,3.0,-0.09936344382004134,-0.321760558115908,-1.0843305483266532,-1.5438388449205906,0.3813095201548038
48,1,1,1.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,Male,Public,Associate Degree (D3),Sumatera Barat (Padang),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",ChatGPT,3.65,2.0,3.0,2.8,2.6,1.374115684934203,2.328625068243761,1.8223630053417355,2.3382348433499605,1.9336996718686328
49,2,1,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,4.0,4.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,Female,Public,Undergraduate (S1),Sumatera Barat (Padang),"Engineering (Geological, Civil, IT, Electrical, Computer, Mining, Sports Science)",ChatGPT,2.1,2.5,3.4,3.6,3.2,1.114089956330513,2.328625068243761,1.8223630053417355,2.3382348433499605,1.9336996718686328
